,decyear,east(m),north(m),up(m)
542,2021.5305,0.709359,0.961427,0.05458
543,2021.5332,0.708595,0.962762,0.053958
544,2021.5359,0.710166,0.962963,0.051804
545,2021.5387,0.710436,0.962002,0.052436
546,2021.5414,0.710445,0.963656,0.050783
547,2021.5441,0.71129,0.962294,0.049044
548,2021.5469,0.711516,0.96219,0.046209
549,2021.5496,0.710035,0.961327,0.043843
550,2021.5524,0.709453,0.960925,0.044294
551,2021.5551,0.708787,0.9608,0.04623
552,2021.5578,0.707496,0.958775,0.044911
553,2021.5606,0.707573,0.959377,0.039674
554,2021.5633,0.71076,0.961583,0.038408
555,2021.5661,0.712294,0.96019,0.037227
556,2021.5688,0.710109,0.960365,0.042436
557,2021.5715,0.712208,0.962157,0.038867
558,2021.5743,0.710518,0.963475,0.038197
559,2021.577,0.710043,0.962421,0.029283
560,2021.5797,0.70954,0.961889,0.030278
561,2021.5825,0.711888,0.962106,0.023381
562,2021.5852,0.710166,0.962496,0.02543
563,2021.588,0.711306,0.961898,0.031001
564,2021.5907,0.711182,0.961972,0.027288
565,2021.5934,0.712042,0.961844,0.028439
566,2021.5962,0.71207,0.961094,0.02599
567,2021.5989,0.710583,0.961507,0.024627
568,2021.6016,0.71128,0.96195,0.022212
569,2021.6044,0.710179,0.962373,0.024816
570,2021.6071,0.710637,0.961133,0.017059
571,2021.6099,0.711501,0.961291,0.022765
572,2021.6126,0.712077,0.962168,0.019182
573,2021.6153,0.714689,0.960979,0.014435
574,2021.6181,0.713541,0.960162,0.012099
575,2021.6208,0.71202,0.961193,0.019077
576,2021.6235,0.710939,0.961031,0.020576
577,2021.6263,0.711683,0.960377,0.016964
578,2021.629,0.713362,0.959165,0.013944
579,2021.6318,0.711888,0.958879,0.012026
580,2021.6345,0.713925,0.959131,0.013961
581,2021.6372,0.713743,0.960715,0.015437
582,2021.64,0.712757,0.960449,0.014103
583,2021.6427,0.712735,0.960091,0.008615
584,2021.6454,0.713362,0.960611,0.007124
585,2021.6482,0.712943,0.960808,0.005255
586,2021.6509,0.713395,0.960749,0.00664
587,2021.6537,0.7136,0.959732,0.00445
588,2021.6564,0.712498,0.95929,0.009327
589,2021.6591,0.712203,0.960638,0.005346
590,2021.6619,0.711765,0.959775,0.005437
591,2021.6646,0.712457,0.96101,0.008914
592,2021.6674,0.712297,0.960688,0.008592
593,2021.6701,0.713211,0.959646,0.00256
594,2021.6728,0.714013,0.959747,0.002248
595,2021.6756,0.714617,0.959069,0.000145
596,2021.6783,0.712092,0.958138,0.000256
597,2021.681,0.712383,0.958806,-0.002706
598,2021.6838,0.713959,0.95807,-0.001039
599,2021.6865,0.713894,0.960029,-0.003951
600,2021.6893,0.71329,0.958062,-0.004752
601,2021.692,0.71322,0.958625,-0.007252
602,2021.6947,0.71198,0.959747,-0.001939
603,2021.6975,0.71231,0.959967,0.002008
604,2021.7002,0.711622,0.95919,-0.005033
605,2021.7029,0.710778,0.959135,0.000187
